Benchmarks run in Release mode, in Auckland Airport on 29th March
Column-wise A was implemented, but not sparse-A
System: Core 2 Duo T9500 @ 2.6 GHz, Win 7 Pro
Adding up the times for the test suite = 282.654 seconds

RESULTS
           Name      Result    Expected     Time  NumRow
ADLITTLE.TXT.MPS  225494.963  225494.963    0.008      56
  AFIRO.TXT.MPS    -464.753    -464.753    0.000      27
   AGG2.TXT.MPS  -20239252.356  -20239252.356    2.371     516
   AGG3.TXT.MPS  10312115.935  10312115.935    2.363     516
BEACONFD.TXT.MPS   33592.486   33592.486    0.088     173
  BLEND.TXT.MPS     -30.812     -30.812    0.013      74
 BRANDY.TXT.MPS    1518.510    1518.510    0.353     220
 CZPROB.TXT.MPS  2185196.699  2185196.699   63.758     929
 DEGEN2.TXT.MPS   -1435.178   -1435.178    6.594     444
   E226.TXT.MPS     -18.752     -18.752    0.760     223
  FIT1D.TXT.MPS   -9146.378   -9146.378    0.148      24
  FIT1P.TXT.MPS    9146.378    9146.378   22.308     627
 GROW15.TXT.MPS  -106870941.294  -106870941.290    1.232     300
 GROW22.TXT.MPS  -160834336.483  -160834336.480    4.274     440
  GROW7.TXT.MPS  -47787811.815  -47787811.815    0.116     140
 ISRAEL.TXT.MPS  -896644.822  -896644.822    0.366     174
    KB2.TXT.MPS   -1749.900   -1749.900    0.005      43
  SC105.TXT.MPS     -52.202     -52.202    0.021     105
  SC205.TXT.MPS     -52.202     -52.202    0.149     205
SCAGR25.TXT.MPS  -14753433.061  -14753433.061    3.282     471
 SCAGR7.TXT.MPS  -2331389.824  -2331389.255    0.051     129
 SCFXM1.TXT.MPS   18416.759   18416.759    1.232     330
 SCFXM2.TXT.MPS   36660.262   36660.262   12.187     660
SCORPION.TXT.MPS    1875.852    1878.125    0.802     388
  SCSD1.TXT.MPS       8.667       8.667    0.131      77
  SCSD6.TXT.MPS      50.500      50.500    0.583     147
  SCSD8.TXT.MPS     905.000     905.000    8.333     397
 SCTAP1.TXT.MPS    1412.250    1412.250    1.180     300
 SCTAP2.TXT.MPS    1724.807    1724.807   97.661    1090
SHARE1B.TXT.MPS  -76589.319  -76589.319    0.105     117
SHARE2B.TXT.MPS    -415.732    -415.732    0.025      96
SHIP04L.TXT.MPS  1793324.538  1793324.538    2.601     402
SHIP04S.TXT.MPS  1798714.700  1798714.700    1.931     402
SHIP08L.TXT.MPS  1909055.211  1909055.211   32.134     778
SHIP08s.TXT.MPS  1920098.211  1920098.211   15.457     778
STOCFOR1.TXT.MPS  -41131.976  -41131.976    0.032     117
