Benchmarks run in Release mode, in LAX on 29th March (the second time I lived through the 29th of March 2011)
sparseA implemented, applied to RC and BinvAs
System: Core 2 Duo T9500 @ 2.6 GHz, Win 7 Pro
Adding up the times for the test suite = 103.815 (vs 140 for just rc)

RESULTS			103.815	
Name	Result	Expected	Time	NumRow
ADLITTLE.TXT.MPS	225494.963	225494.963	0.004	56
AFIRO.TXT.MPS	-464.753	-464.753	0.001	27
AGG2.TXT.MPS	-20239252.36	-20239252.36	0.966	516
AGG3.TXT.MPS	10312115.94	10312115.94	1.146	516
BEACONFD.TXT.MPS	33592.486	33592.486	0.043	173
BLEND.TXT.MPS	-30.812	-30.812	0.007	74
BRANDY.TXT.MPS	1518.51	1518.51	0.161	220
CZPROB.TXT.MPS	2185196.699	2185196.699	25.044	929
DEGEN2.TXT.MPS	-1435.178	-1435.178	2.357	444
E226.TXT.MPS	-18.752	-18.752	0.247	223
FIT1D.TXT.MPS	-9146.378	-9146.378	0.107	24
FIT1P.TXT.MPS	9146.378	9146.378	7.557	627
GROW15.TXT.MPS	-106870941.3	-106870941.3	0.387	300
GROW22.TXT.MPS	-160834336.5	-160834336.5	1.394	440
GROW7.TXT.MPS	-47787811.82	-47787811.82	0.039	140
ISRAEL.TXT.MPS	-896644.822	-896644.822	0.131	174
KB2.TXT.MPS	-1749.9	-1749.9	0.003	43
SC105.TXT.MPS	-52.202	-52.202	0.008	105
SC205.TXT.MPS	-52.202	-52.202	0.054	205
SCAGR25.TXT.MPS	-14753433.06	-14753433.06	1.27	471
SCAGR7.TXT.MPS	-2331389.824	-2331389.255	0.019	129
SCFXM1.TXT.MPS	18416.759	18416.759	0.402	330
SCFXM2.TXT.MPS	36660.262	36660.262	4.333	660
SCORPION.TXT.MPS	1875.852	1878.125	0.32	388
SCSD1.TXT.MPS	8.667	8.667	0.036	77
SCSD6.TXT.MPS	50.5	50.5	0.09	147
SCSD8.TXT.MPS	905	905	1.329	397
SCTAP1.TXT.MPS	1412.25	1412.25	0.357	300
SCTAP2.TXT.MPS	1724.807	1724.807	43.395	1090
SHARE1B.TXT.MPS	-76589.319	-76589.319	0.037	117
SHARE2B.TXT.MPS	-415.732	-415.732	0.025	96
SHIP04L.TXT.MPS	1793324.538	1793324.538	0.5	402
SHIP04S.TXT.MPS	1798714.7	1798714.7	0.465	402
SHIP08L.TXT.MPS	1909055.211	1909055.211	7.055	778
SHIP08s.TXT.MPS	1920098.211	1920098.211	4.513	778
STOCFOR1.TXT.MPS	-41131.976	-41131.976	0.013	117
